Rule_ID,Txn_Count,Txn_Pct,Inflow_Total,Outflow_Total,Net_Impact,Inflow_Pct,Outflow_Pct,Abs_Impact_Rank
R01_SALARY,148,12.05,1936428.2799999998,0.0,1936428.2799999998,82.14,0.0,1
R04_PROPERTY_DOWNPAYMENT,9,0.73,0.0,750603.5700000001,-750603.5700000001,0.0,32.58,2
R15_GENERIC_OUTFLOW,302,24.59,0.0,603406.45,-603406.45,0.0,26.19,3
R12_CC_SETTLEMENT,376,30.62,0.0,468513.08999999997,-468513.08999999997,0.0,20.34,4
R14_OTHER_INCOME,52,4.23,371189.11,0.0,371189.11,15.74,0.0,5
R06_MORTGAGE,34,2.77,0.0,189912.51,-189912.51,0.0,8.24,6
R08_RENOVATION,12,0.98,0.0,151810.0,-151810.0,0.0,6.59,7
R05_TAX,46,3.75,0.0,63331.08,-63331.08,0.0,2.75,8
R07_CAR_LOAN,45,3.66,0.0,59649.28,-59649.28,0.0,2.59,9
R10_INS_IN,74,6.03,33024.729999999996,0.0,33024.729999999996,1.4,0.0,10
R02_INTEREST,116,9.45,16944.660000000003,0.0,16944.660000000003,0.72,0.0,11
R09_MCST,8,0.65,0.0,9453.57,-9453.57,0.0,0.41,12
R11_INS_OUT,6,0.49,0.0,7215.4,-7215.4,0.0,0.31,13
